,X,Y,Homecell,manageHomecell,BT,FR,AgentID,Cap1,Cap2,Cap3,Property1,Property2
1,1,1,1,1,Cognitor,FR3,agent-1-1,0,-0.563758638,0.781879319,26,0.0960260852
2,1,2,2,2,Cognitor,FR2,agent-1-2,0,-0.855504805,0.927752402,23,0.900560055
3,1,3,,,,,agent-1-2,0,-1.069960235,1.034980118,,
4,1,4,,,,,agent-1-2,0,-1.206724936,1.103362468,,
5,1,5,5,5,Cognitor,FR1,agent-1-5,0,-1.265543552,1.132771776,50,0.0236917076
6,1,6,6,6,Cognitor,FR2,agent-1-6,0,-1.24630616,1.12315308,51,0.9665118941
7,1,7,7,7,Cognitor,FR1,agent-1-7,0,-1.149048611,1.074524305,25,0.1125952323
8,1,8,,,,,agent-1-7,0,-0.973952417,0.986976208,,
9,1,9,,,,,agent-1-7,0,-0.721344191,0.860672096,,
10,1,10,,,,,agent-1-7,0,-0.391694629,0.695847315,,
11,2,1,,,,,agent-1-7,0,-0.719339532,0.859669766,,
12,2,2,,,,,agent-1-7,0,-1.01140782,1.00570391,,
13,2,3,13,13,Cognitor,FR3,agent-2-3,0,-1.226088619,1.11304431,20,0.0613486663
14,2,4,14,14,Cognitor,FR2,agent-2-4,0,-1.362981517,1.181490759,47,0.761502999
15,2,5,,,,,agent-2-4,0,-1.421830919,1.210915459,,
16,2,6,16,16,Cognitor,FR1,agent-2-6,0,-1.402526843,1.201263421,76,0.4168229956
17,2,7,17,17,Cognitor,FR2,agent-2-7,0,-1.305105265,1.152552632,72,0.5578353178
18,2,8,18,18,Cognitor,FR3,agent-2-8,0,-1.129748005,1.064874003,60,0.5865277069
19,2,9,19,19,Cognitor,FR2,agent-2-9,0,-0.876782164,0.938391082,69,0.5489688815
20,2,10,20,20,Cognitor,FR1,agent-2-10,0,-0.546679105,0.773339552,54,0.9416405753
21,3,1,21,21,Cognitor,FR2,agent-3-1,0,-0.797240216,0.898620108,31,0.35012979
22,3,2,,,,,agent-3-1,0,-1.089448635,1.044724317,,
23,3,3,,,,,agent-3-1,0,-1.304220977,1.152110488,,
24,3,4,,,,,agent-3-1,0,-1.441156657,1.220578328,,
25,3,5,,,,,agent-3-1,0,-1.5,1.25,,
26,3,6,26,26,Cognitor,FR2,agent-3-6,0,-1.480641037,1.240320518,73,0.0223107756
27,3,7,27,27,Cognitor,FR2,agent-3-7,0,-1.383115845,1.191557922,57,0.1626370949
28,3,8,28,28,Cognitor,FR2,agent-3-8,0,-1.20760644,1.10380322,64,0.5359442002
29,3,9,29,29,Cognitor,FR2,agent-3-9,0,-0.954440206,0.977220103,32,0.0526120189
30,3,10,30,30,Cognitor,FR3,agent-3-10,0,-0.62408888,0.81204444,48,0.9206532409
31,4,1,,,,,agent-3-10,0,-0.797315364,0.898657682,,
32,4,2,,,,,agent-3-10,0,-1.089481664,1.044740832,,
33,4,3,33,33,Cognitor,FR2,agent-4-3,0,-1.30421155,1.152105775,20,0.3645808693
34,4,4,34,34,Cognitor,FR2,agent-4-4,0,-1.441104518,1.220552259,32,0.4838373408
35,4,5,35,35,Cognitor,FR1,agent-4-5,0,-1.49990497,1.249952485,77,0.1014981807
36,4,6,36,36,Cognitor,FR1,agent-4-6,0,-1.480503017,1.240251509,72,0.8968720505
37,4,7,37,37,Cognitor,FR2,agent-4-7,0,-1.38293482,1.19146741,18,0.6848370234
38,4,8,38,38,Cognitor,FR2,agent-4-8,0,-1.207382473,1.103691237,59,0.8718637795
39,4,9,39,39,Cognitor,FR2,agent-4-9,0,-0.954173443,0.977086721,69,0.2851135783
40,4,10,40,40,Cognitor,FR2,agent-4-10,0,-0.623779546,0.811889773,51,0.7874879799
41,5,1,41,41,Cognitor,FR1,agent-5-1,0,-0.71956511,0.859782555,75,0.3084578834
42,5,2,42,42,Cognitor,FR2,agent-5-2,0,-1.011507119,1.00575356,33,0.3804687542
43,5,3,43,43,Cognitor,FR1,agent-5-3,0,-1.226060633,1.113030316,20,0.0879653924
44,5,4,44,44,Cognitor,FR2,agent-5-4,0,-1.362825472,1.181412736,42,0.014014555
45,5,5,45,45,Cognitor,FR1,agent-5-5,0,-1.421546281,1.210773141,61,0.1850960614
46,5,6,,,,,agent-5-5,0,-1.402113319,1.20105666,,
47,5,7,,,,,agent-5-5,0,-1.304562804,1.152281402,,
48,5,8,,,,,agent-5-5,0,-1.1290768,1.0645384,,
49,5,9,,,,,agent-5-5,0,-0.875982648,0.937991324,,
50,5,10,,,,,agent-5-5,0,-0.545751953,0.772875977,,
51,6,1,51,51,Cognitor,FR2,agent-6-1,0,-0.564135047,0.782067523,40,0.9192838162
52,6,2,52,52,Cognitor,FR1,agent-6-2,0,-0.855671014,0.927835507,77,0.2898734246
53,6,3,53,53,Cognitor,FR2,agent-6-3,0,-1.069914567,1.034957283,42,0.7511431583
54,6,4,54,54,Cognitor,FR3,agent-6-4,0,-1.206466104,1.103233052,43,0.6211877969
55,6,5,55,55,Cognitor,FR2,agent-6-5,0,-1.265070666,1.132535333,25,0.8670882554
56,6,6,56,56,Cognitor,FR3,agent-6-6,0,-1.245618732,1.122809366,18,0.0958421213
57,6,7,57,57,Cognitor,FR1,agent-6-7,0,-1.148146554,1.074073277,37,0.8838714318
58,6,8,58,58,Cognitor,FR1,agent-6-8,0,-0.972836051,0.986418025,34,0.301094754
